,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,DATE,SOURCE_ID,EXTERNAL_REFERENCE,RECORD_TYPE,DESCRIPTION,NET_CREDIT_AMOUNT,NET_DEBIT_AMOUNT,GROSS_AMOUNT,SELLER_AMOUNT,MP_FEE_AMOUNT,FINANCING_FEE_AMOUNT,SHIPPING_FEE_AMOUNT,TAXES_AMOUNT,COUPON_AMOUNT,INSTALLMENTS,PAYMENT_METHOD,TAX_DETAIL,TAX_AMOUNT_TELCO,TRANSACTION_APPROVAL_DATE,POS_ID,POS_NAME,EXTERNAL_POS_ID,STORE_ID,STORE_NAME,EXTERNAL_STORE_ID,CURRENCY,TAXES_DISAGGREGATED,SHIPPING_ID,SHIPMENT_MODE,ORDER_ID,PACK_ID,METADATA,EFFECTIVE_COUPON_AMOUNT,POI_ID,CARD_INITIAL_NUMBER,OPERATION_TAGS,ITEM_ID,POI_BANK_NAME,POI_WALLET_NAME,BUSINESS_UNIT,SUB_UNIT,BALANCE_AMOUNT,PAYOUT_BANK_ACCOUNT_NUMBER,PRODUCT_SKU,SALE_DETAIL
13,2024-01-03T01:06:58.000-03:00,67734044394,2000006999491336,release,reserve_for_dispute,0.00,2212.75,-2212.75,0.00,0.00,0.00,0.00,0.00,0.00,10,master,,0.00,2024-01-03T01:06:58.000-03:00,,,,,,,BRL,"""[]""",42844403054,custom,2000006999491336,,"""{""official_store_id"":null}""",0,,534516,,MLB3428434259,,,Mercado Libre, ,62190.40,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
14,2024-01-03T04:40:42.000-03:00,1029458357343,,release,asset_management,21.18,0.00,21.18,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-03T04:40:42.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0.00,,,,,,,,,62211.58,,,
15,2024-01-03T10:21:41.000-03:00,68247951494,2000007072863320,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,visa,,0.00,2023-12-06T11:20:33.000-03:00,,,,,,,BRL,"""[]""",42875979834,custom,2000007072863320,,"""{""official_store_id"":null}""",0.00,,412177,,MLB3428434259,,,Mercado Libre, ,64424.33,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
16,2024-01-03T12:36:38.000-03:00,68070566515,2000007071197394,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-06T13:37:44.000-03:00,,,,,,,BRL,"""[]""",42875230028,custom,2000007071197394,,"""{""official_store_id"":null}""",0.00,,520048,,MLB3428434259,,,Mercado Libre, ,66637.08,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
17,2024-01-03T12:43:01.000-03:00,68258421444,2000007074232976,release,payment,2212.75,0.00,2650.00,0.00,-437.25,0.00,0.00,0.00,0.00,1,pix,,0.00,2023-12-06T13:42:46.000-03:00,,,,,,,BRL,"""[]""",42876453567,custom,2000007074232976,,"""{""official_store_id"":null}""",0.00,,,pix,MLB3428434259,,,Mercado Libre, ,68849.83,,,"""""""Bebedouro Industrial 100  - Ideal P Academia Escolas Igrejas"""""""
18,2024-01-03T12:54:06.000-03:00,68124958888,2000007053510856,release,reserve_for_dispute,1918.83,0.00,1918.83,0.00,0.00,0.00,0.00,0.00,0.00,10,master,,0.00,2024-01-03T12:54:06.000-03:00,,,,,,,BRL,"""[]""",42867539023,custom,2000007053510856,,"""{""official_store_id"":null}""",0,,550209,,MLB1346937656,,,Mercado Libre, ,70768.66,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
19,2024-01-03T13:11:21.000-03:00,68261257926,2000007074660370,release,payment,2133.84,0.00,2555.50,0.00,-421.66,0.00,0.00,0.00,0.00,1,master,,0.00,2023-12-06T14:12:42.000-03:00,,,,,,,BRL,"""[]""",42905926646,custom,2000007074660370,,"""{""official_store_id"":null}""",0.00,,516292,,MLB3517277315,,,Mercado Libre, ,72902.50,,,"""""""Bebedouro De Ãgua 100 Litros AÃ§o InoxidÃ¡vel Coluna 100l"""""""
20,2024-01-03T13:18:48.000-03:00,68366547963,2000007115381084,release,payment,1918.83,0.00,2298.00,0.00,-379.17,0.00,0.00,0.00,0.00,1,bolbradesco,,0.00,2023-12-13T02:51:47.000-03:00,,,,,,,BRL,"""[]""",42894139388,custom,2000007115381084,,"""{""official_store_id"":null}""",0.00,,,,MLB1346937656,,,Mercado Libre, ,74821.33,,,"""""""Bebedouro Refrigerador Industrial Inox 50 Litros C/ Filtro"""""""
21,2024-01-03T13:27:03.000-03:00,,,available_balance,pre_payout_69921073276,74821.33,0.00,74821.33,0.00,0.00,0.00,0.00,0.00,0.00,1,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,74821.33,,,
22,2024-01-03T13:27:06.000-03:00,69921073276,,release,reserve_for_payout,0.00,30000.00,-30000.00,0.00,0.00,0.00,0.00,0.00,0.00,1,available_money,,0.00,2024-01-03T13:27:06.000-03:00,,,,,,,BRL,"""[]""",,,,,"""{}""",0,,,,,,,,,44821.33,,,
